id,nombre,telefono,correo
1,Daniel Castro,3067890123,daniel.castro@email.com
2,Camila Vargas,3090123456,camila.vargas@email.com
3,Sebastián Lóp,3089012345,sebastian.lopez@email.com
4,María Góm,3012345678,maria.gomez@email.com
5,Juan Pére,3001234567,juan.perez@email.com
6,Carlos Ramíre,3023456789,carlos.ramirez@email.com
7,Sofía Herrer,3056789012,sofia.herrera@email.com
8,Andrés Martín,3045678901,andres.martinez@email.com
9,Laura Torres,3034567890,laura.torres@email.com
10,Valentina Rojas,3078901234,valentina.rojas@email.com
